source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
3_sisters_beauty_shop_2560778_0_Nam_Financials.xlsm,3 Sisters Beauty Shop,Retail / Trade (beauty),Salons,,Beauty retail shop with salon services,"The presence of various beauty products and the classification of Cost of Sales categories as 'COS Shop 1' and 'COS Shop 2' indicate a retail business focused on selling physical beauty products, while also providing salon services."
3wise_men_s_star_kindergaten_and_primary_kasese_25601106_0_3_wise_men-Financials.xlsm,3WISE MEN STAR KINDERGARTEN AND PRIMARY,Education,Early childhood education,,Private Kindergarten and Primary School,"The business primarily operates in the education sector, specifically focusing on early childhood education. The revenue streams are derived from tuition and fees, which align with service costs rather than goods sold, indicating a service-oriented business rather than retail."
___latest_excel_model_to_use____2560726_0_Client_Analysis_Model_v24.3.xlsm,Test,Retail / Trade,FMCG,,General merchandise,"The business is classified under Retail/Trade due to the primary and secondary industry types being Trade/Retail. The presence of 'Cost of goods sold' categories indicates a retail business that sells physical products, leading to the classification as General merchandise."
_lima_general_store_2560824_0_ALIMA_FINANCIALS.xlsm,ALIMA GENERAL STORE,Retail / Trade (produce),Cereals/Grains,,General store specializing in grains and cereals,"The presence of inventory/products such as maize, sunflower, soya bean, millet, and green gram indicates a strong focus on retailing physical goods, specifically grains. The Cost of Sales categories confirm this as they relate to purchases, which aligns with a retail/trade classification."
ab_drug_shop_2560742_0_AB_Drug_shop_financials.xlsm,AB DRUG SHOP,Healthcare,Healthcare (pharmacy),,Retail pharmacy,"The presence of inventory/products and the Cost of Sales categories indicating wholesale and retail sales strongly suggest that this business operates as a retail pharmacy, focusing on the sale of pharmaceutical products."
abbh_distributors_2560762_0_Client_Analysis_Model_v24-ABBH_Distributors.xlsm,ABBH Distributors,Retail / Trade (FMCG),General merchandise,,Retail distributor of beverages and related products,"The presence of inventory/products categorized under 'Cost of goods sold' strongly indicates a retail/trade classification. The business sells physical products, specifically beverages, which aligns with the FMCG sector."
abdul_phones___accessories__gulu_25601017_0_ABDUL_PHONES__ACCESSORIES.xlsm,ABDUL PHONES & ACCESSORIES -GULU,Retail / Trade (electronics),Mobile phones,,Retail of mobile phones and accessories,"The business sells physical products such as mobile phones and accessories, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory items like screen guards, chargers, and mobile devices further supports this classification."
abu_cycle_component_lira_2560974_0_ABU_BICYCLES_FINANCIALS_V2.xlsm,ABU CYCLE COMPONENT-LIRA,Retail / Trade (automobile),Service & repair,,Bicycle components retail,"The presence of inventory/products related to bicycle components and the classification under 'Cost of goods sold' strongly indicate that this business operates as a retail/trade entity focused on selling physical products, specifically bicycle parts."
ac_phone_accessories_and_electronics_25601081_0_Financials-_AC_PHONE_ACCESSORIES_Updated.xlsm,AC PHONE ACCESSORIES AND ELECTRONICS,Retail / Trade (electronics),Mobile phones,,Retailer of mobile phones and accessories,"The presence of inventory/products related to mobile phones and accessories, along with the Cost of Sales categories indicating physical products, strongly supports the classification as a retail/trade business in the electronics sector."
adero_lorna_2560803_0_ADERO_FINANCIALS_-_Adjusted.xlsm,ARKO INVESTMENTS (ADERO),Retail / Trade (FMCG),General merchandise,,Mixed retail (food & beverages),"The presence of inventory/products such as Posho, Wheat Flour, Soda, Cooking Oil, and Soap indicates a retail/trade business selling physical goods. The Cost of Sales categories confirm this classification as they align with retail operations."
